date,trigger_gap_pct,shift_rs,source_channel,destination_channel,step_n,total_steps,execution_confirmed,execution_time,monitoring_flags,outcome_note
2026-07-03,43.0,9375,meta,google,1,,pending,,,
2026-07-12,49.6,8500,"BHARAT_AGRA -2000 (paused); BHARAT_BAREILLY -2000 (paused); BHARAT_MORADABAD -2000 (paused); BHARAT_MATHURA -2000 (paused)","GOOGLE_UAC +8000; GOOGLE_SEARCH_BRAND +500",1,,confirmed,2026-07-12T00:54:03+05:30,,"Manual pause of 4 low-efficiency Bharat city ad sets (CPBL 2745-13689) instead of trimming DEL_ALL_PBFC (CPBL 1374, untouched). Net Rs500/day increase (Rs8000 freed vs Rs8500 funded), not a clean 1:1 shift. Per Guneet/Nikhil Slack thread 2026-07-11."
2026-07-15,35.1,10500,"RETARGETING -3000; BHARAT_ALL_SPL -1500; DEL_ALL_PBFC -6000","GOOGLE_UAC +9000; GOOGLE_DEMANDGEN +750; GOOGLE_SEARCH_BRAND +300",2,,confirmed,2026-07-15T00:20:00+05:30,,"Capacity-reconciliation design: gap/2 headline target reconciled against real per-unit 15% caps both sides, worst-CPBL-first sourcing (Retargeting now eligible), best-CPBL-first funding excluding Search L2 (rank-constrained, not budget-constrained - confirmed via 0% impression-share-lost-to-budget) and Search L1/P2 (worse CPBL than Meta sources). Meta -10500 vs Google +10050, Rs450/day net reduction, not a clean 1:1 shift - Nikhil's own rounding."
2026-08-13,23.7,6069,BHARAT_MEERUT_AI_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA -300; BHARAT_ALL_SPL_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA -1462; DEL_ALL_BFC_L0-L1-L2_RMKT-VV75-MAST90_BOOKNOW_APPSTORE_ABO_RETARGETING_MULTI_NA -4307,GOOGLE_BA_DEL_SCALE_ABO_DEMANDGEN_YT_BFC_VOLUME_10062026 +990; GOOGLE_BA_DEL_SCALE_ABO_SEARCH_BRAND_01072026 +525; GOOGLE_BA_DEL_SCALE_ABO_UAC_BFC-VOLUME_010626 +4554,1,,pending,,,
2026-08-19,-48.1,7150,Google: GOOGLE_BA_DEL_SCALE_ABO_SEARCH_L2_04072026 -150; GOOGLE_BA_DEL_SCALE_ABO_SEARCH_BRAND_01072026 -600; GOOGLE_BA_DEL_SCALE_ABO_UAC_BFC-VOLUME_010626 -6400,Meta: DEL_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA +5600; DEL_ALL_BFC_L0-L1-L2_RMKT-VV75-MAST90_BOOKNOW_APPSTORE_ABO_RETARGETING_MULTI_NA +1500,1,,confirmed,2026-08-20T23:34:00+05:30,,"Nikhil paused Search L1 and P2 entirely (not a partial trim) instead of the originally proposed -300/-75; exact re-computed amounts (L2 -150, Brand -600, UAC -6405 / BFC-VOL +5625, Retargeting +1530, total 7155) then rounded down to clean hundreds for manual entry per Nikhil's request (L2 kept at 150 as the one exception). Rounded Google-reduce total (7150) and Meta-fund total (7100) don't reconcile exactly - a fixed Rs50/day artifact of L2's non-hundred value plus two multiples-of-100, judged immaterial, not closed by breaking the clean-hundreds ask."
2026-08-24,29.4,8576,Meta: BHARAT_LUCKNOW_SPL_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA -750; BHARAT_MEERUT_AI_L1-L2-L3_BROAD_BOOKNOW_APPSTORE_ABO_BFC-VOLUME_MULTI_NA -255; BHARAT_ALL_SPL_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA -1275; DEL_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA -6296,Google: GOOGLE_BA_DEL_SCALE_ABO_DEMANDGEN_YT_BFC_VOLUME_10062026 +1125; GOOGLE_BA_DEL_SCALE_ABO_UAC_BFC-VOLUME_010626 +7451,1,,pending,,,
2026-08-25,22.4,0,Meta: ,Google: ,2,,pending,,,
2026-08-28,-16.1,0,Meta: ,Google: ,3,,pending,,,
2026-08-29,-56.8,7365,Google: GOOGLE_BA_DEL_SCALE_ABO_SEARCH_L2_04072026 -128; GOOGLE_BA_DEL_SCALE_ABO_SEARCH_BRAND_01072026 -510; GOOGLE_BA_DEL_SCALE_ABO_UAC_BFC-VOLUME_010626 -6728,Meta: DEL_ALL_BFC_L0-L1-L2_RMKT-VV75-MAST90_BOOKNOW_APPSTORE_ABO_RETARGETING_MULTI_NA +4425; DEL_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA +2940,1,,pending,,,
2026-08-30,25.6,7365,Google: GOOGLE_BA_DEL_SCALE_ABO_SEARCH_L2_04072026 -128; GOOGLE_BA_DEL_SCALE_ABO_SEARCH_BRAND_01072026 -510; GOOGLE_BA_DEL_SCALE_ABO_UAC_BFC-VOLUME_010626 -6728,Meta: DEL_ALL_BFC_L0-L1-L2_RMKT-VV75-MAST90_BOOKNOW_APPSTORE_ABO_RETARGETING_MULTI_NA +4425; DEL_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA +2940,2,,superseded,,,"INVALID - do not execute. Today's own gap was +25.6% (Meta worse, Google actually cheaper), directly contradicting the GOOGLE_TO_META direction this step was sized in. The step-continuation logic didn't check for this before 2026-09-02 (fix: commit c742bb0) - it kept executing the old direction using contradicted-day data instead of holding. Never executed (was still 'pending' when caught). State reverted to step 1 (the last legitimate step, Aug29, real -56.8% gap)."
